COUNTY,CNTYNAME,CNTY_ALLD,CNTY_ALLN_CMP2,CNTY_ALLN_GRAD,CNTY_ALLN_CONT,CNTY_ALLN_TXCHSE,CNTY_ALLN_DROP,CNTY_ALLR_CMP2,CNTY_ALLR_GRAD,CNTY_ALLR_CONT,CNTY_ALLR_TXCHSE,CNTY_ALLR_DROP,CNTY_ALLR_RAED,CNTY_ALLR_RECADV,CNTY_AAD,CNTY_AAN_CMP2,CNTY_AAN_GRAD,CNTY_AAN_CONT,CNTY_AAN_TXCHSE,CNTY_AAN_DROP,CNTY_AAR_CMP2,CNTY_AAR_GRAD,CNTY_AAR_CONT,CNTY_AAR_TXCHSE,CNTY_AAR_DROP,CNTY_AAR_RAED,CNTY_AAR_RECADV,CNTY_ASD,CNTY_ASN_CMP2,CNTY_ASN_GRAD,CNTY_ASN_CONT,CNTY_ASN_TXCHSE,CNTY_ASN_DROP,CNTY_ASR_CMP2,CNTY_ASR_GRAD,CNTY_ASR_CONT,CNTY_ASR_TXCHSE,CNTY_ASR_DROP,CNTY_ASR_RAED,CNTY_ASR_RECADV,CNTY_HSD,CNTY_HSN_CMP2,CNTY_HSN_GRAD,CNTY_HSN_CONT,CNTY_HSN_TXCHSE,CNTY_HSN_DROP,CNTY_HSR_CMP2,CNTY_HSR_GRAD,CNTY_HSR_CONT,CNTY_HSR_TXCHSE,CNTY_HSR_DROP,CNTY_HSR_RAED,CNTY_HSR_RECADV,CNTY_MUD,CNTY_MUN_CMP2,CNTY_MUN_GRAD,CNTY_MUN_CONT,CNTY_MUN_TXCHSE,CNTY_MUN_DROP,CNTY_MUR_CMP2,CNTY_MUR_GRAD,CNTY_MUR_CONT,CNTY_MUR_TXCHSE,CNTY_MUR_DROP,CNTY_MUR_RAED,CNTY_MUR_RECADV,CNTY_NAD,CNTY_NAN_CMP2,CNTY_NAN_GRAD,CNTY_NAN_CONT,CNTY_NAN_TXCHSE,CNTY_NAN_DROP,CNTY_NAR_CMP2,CNTY_NAR_GRAD,CNTY_NAR_CONT,CNTY_NAR_TXCHSE,CNTY_NAR_DROP,CNTY_NAR_RAED,CNTY_NAR_RECADV,CNTY_PID,CNTY_PIN_CMP2,CNTY_PIN_GRAD,CNTY_PIN_CONT,CNTY_PIN_TXCHSE,CNTY_PIN_DROP,CNTY_PIR_CMP2,CNTY_PIR_GRAD,CNTY_PIR_CONT,CNTY_PIR_TXCHSE,CNTY_PIR_DROP,CNTY_PIR_RAED,CNTY_PIR_RECADV,CNTY_WHD,CNTY_WHN_CMP2,CNTY_WHN_GRAD,CNTY_WHN_CONT,CNTY_WHN_TXCHSE,CNTY_WHN_DROP,CNTY_WHR_CMP2,CNTY_WHR_GRAD,CNTY_WHR_CONT,CNTY_WHR_TXCHSE,CNTY_WHR_DROP,CNTY_WHR_RAED,CNTY_WHR_RECADV,CNTY_ECND,CNTY_ECNN_CMP2,CNTY_ECNN_GRAD,CNTY_ECNN_CONT,CNTY_ECNN_TXCHSE,CNTY_ECNN_DROP,CNTY_ECNR_CMP2,CNTY_ECNR_GRAD,CNTY_ECNR_CONT,CNTY_ECNR_TXCHSE,CNTY_ECNR_DROP,CNTY_ECNR_RAED,CNTY_ECNR_RECADV,CNTY_NECND,CNTY_NECNN_CMP2,CNTY_NECNN_GRAD,CNTY_NECNN_CONT,CNTY_NECNN_TXCHSE,CNTY_NECNN_DROP,CNTY_NECNR_CMP2,CNTY_NECNR_GRAD,CNTY_NECNR_CONT,CNTY_NECNR_TXCHSE,CNTY_NECNR_DROP,CNTY_NECNR_RAED,CNTY_NECNR_RECADV,CNTY_FEMD,CNTY_FEMN_CMP2,CNTY_FEMN_GRAD,CNTY_FEMN_CONT,CNTY_FEMN_TXCHSE,CNTY_FEMN_DROP,CNTY_FEMR_CMP2,CNTY_FEMR_GRAD,CNTY_FEMR_CONT,CNTY_FEMR_TXCHSE,CNTY_FEMR_DROP,CNTY_FEMR_RAED,CNTY_FEMR_RECADV,CNTY_MALD,CNTY_MALN_CMP2,CNTY_MALN_GRAD,CNTY_MALN_CONT,CNTY_MALN_TXCHSE,CNTY_MALN_DROP,CNTY_MALR_CMP2,CNTY_MALR_GRAD,CNTY_MALR_CONT,CNTY_MALR_TXCHSE,CNTY_MALR_DROP,CNTY_MALR_RAED,CNTY_MALR_RECADV,CNTY_ATRD,CNTY_ATRN_CMP2,CNTY_ATRN_GRAD,CNTY_ATRN_CONT,CNTY_ATRN_TXCHSE,CNTY_ATRN_DROP,CNTY_ATRR_CMP2,CNTY_ATRR_GRAD,CNTY_ATRR_CONT,CNTY_ATRR_TXCHSE,CNTY_ATRR_DROP,CNTY_ATRR_RAED,CNTY_ATRR_RECADV,CNTY_BED,CNTY_BEN_CMP2,CNTY_BEN_GRAD,CNTY_BEN_CONT,CNTY_BEN_TXCHSE,CNTY_BEN_DROP,CNTY_BER_CMP2,CNTY_BER_GRAD,CNTY_BER_CONT,CNTY_BER_TXCHSE,CNTY_BER_DROP,CNTY_BER_RAED,CNTY_BER_RECADV,CNTY_CTED,CNTY_CTEN_CMP2,CNTY_CTEN_GRAD,CNTY_CTEN_CONT,CNTY_CTEN_TXCHSE,CNTY_CTEN_DROP,CNTY_CTER_CMP2,CNTY_CTER_GRAD,CNTY_CTER_CONT,CNTY_CTER_TXCHSE,CNTY_CTER_DROP,CNTY_CTER_RAED,CNTY_CTER_RECADV,CNTY_VFOSD,CNTY_VFOSN_CMP2,CNTY_VFOSN_GRAD,CNTY_VFOSN_CONT,CNTY_VFOSN_TXCHSE,CNTY_VFOSN_DROP,CNTY_VFOSR_CMP2,CNTY_VFOSR_GRAD,CNTY_VFOSR_CONT,CNTY_VFOSR_TXCHSE,CNTY_VFOSR_DROP,CNTY_VFOSR_RAED,CNTY_VFOSR_RECADV,CNTY_FOSD,CNTY_FOSN_CMP2,CNTY_FOSN_GRAD,CNTY_FOSN_CONT,CNTY_FOSN_TXCHSE,CNTY_FOSN_DROP,CNTY_FOSR_CMP2,CNTY_FOSR_GRAD,CNTY_FOSR_CONT,CNTY_FOSR_TXCHSE,CNTY_FOSR_DROP,CNTY_FOSR_RAED,CNTY_FOSR_RECADV,CNTY_GFTD,CNTY_GFTN_CMP2,CNTY_GFTN_GRAD,CNTY_GFTN_CONT,CNTY_GFTN_TXCHSE,CNTY_GFTN_DROP,CNTY_GFTR_CMP2,CNTY_GFTR_GRAD,CNTY_GFTR_CONT,CNTY_GFTR_TXCHSE,CNTY_GFTR_DROP,CNTY_GFTR_RAED,CNTY_GFTR_RECADV,CNTY_VHLD,CNTY_VHLN_CMP2,CNTY_VHLN_GRAD,CNTY_VHLN_CONT,CNTY_VHLN_TXCHSE,CNTY_VHLN_DROP,CNTY_VHLR_CMP2,CNTY_VHLR_GRAD,CNTY_VHLR_CONT,CNTY_VHLR_TXCHSE,CNTY_VHLR_DROP,CNTY_VHLR_RAED,CNTY_VHLR_RECADV,CNTY_IMMD,CNTY_IMMN_CMP2,CNTY_IMMN_GRAD,CNTY_IMMN_CONT,CNTY_IMMN_TXCHSE,CNTY_IMMN_DROP,CNTY_IMMR_CMP2,CNTY_IMMR_GRAD,CNTY_IMMR_CONT,CNTY_IMMR_TXCHSE,CNTY_IMMR_DROP,CNTY_IMMR_RAED,CNTY_IMMR_RECADV,CNTY_LEPHSD,CNTY_LEPHSN_CMP2,CNTY_LEPHSN_GRAD,CNTY_LEPHSN_CONT,CNTY_LEPHSN_TXCHSE,CNTY_LEPHSN_DROP,CNTY_LEPHSR_CMP2,CNTY_LEPHSR_GRAD,CNTY_LEPHSR_CONT,CNTY_LEPHSR_TXCHSE,CNTY_LEPHSR_DROP,CNTY_LEPHSR_RAED,CNTY_LEPHSR_RECADV,CNTY_LEPD,CNTY_LEPN_CMP2,CNTY_LEPN_GRAD,CNTY_LEPN_CONT,CNTY_LEPN_TXCHSE,CNTY_LEPN_DROP,CNTY_LEPR_CMP2,CNTY_LEPR_GRAD,CNTY_LEPR_CONT,CNTY_LEPR_TXCHSE,CNTY_LEPR_DROP,CNTY_LEPR_RAED,CNTY_LEPR_RECADV,CNTY_MIGD,CNTY_MIGN_CMP2,CNTY_MIGN_GRAD,CNTY_MIGN_CONT,CNTY_MIGN_TXCHSE,CNTY_MIGN_DROP,CNTY_MIGR_CMP2,CNTY_MIGR_GRAD,CNTY_MIGR_CONT,CNTY_MIGR_TXCHSE,CNTY_MIGR_DROP,CNTY_MIGR_RAED,CNTY_MIGR_RECADV,CNTY_MILD,CNTY_MILN_CMP2,CNTY_MILN_GRAD,CNTY_MILN_CONT,CNTY_MILN_TXCHSE,CNTY_MILN_DROP,CNTY_MILR_CMP2,CNTY_MILR_GRAD,CNTY_MILR_CONT,CNTY_MILR_TXCHSE,CNTY_MILR_DROP,CNTY_MILR_RAED,CNTY_MILR_RECADV,CNTY_SPED,CNTY_SPEN_CMP2,CNTY_SPEN_GRAD,CNTY_SPEN_CONT,CNTY_SPEN_TXCHSE,CNTY_SPEN_DROP,CNTY_SPER_CMP2,CNTY_SPER_GRAD,CNTY_SPER_CONT,CNTY_SPER_TXCHSE,CNTY_SPER_DROP,CNTY_SPER_RAED,CNTY_SPER_RECADV,CNTY_TTLD,CNTY_TTLN_CMP2,CNTY_TTLN_GRAD,CNTY_TTLN_CONT,CNTY_TTLN_TXCHSE,CNTY_TTLN_DROP,CNTY_TTLR_CMP2,CNTY_TTLR_GRAD,CNTY_TTLR_CONT,CNTY_TTLR_TXCHSE,CNTY_TTLR_DROP,CNTY_TTLR_RAED,CNTY_TTLR_RECADV
1,ANDERSON COUNTY,<600,-,-,-,-,-,99.3,96.8,2.2,0.4,0.7,86.8,86.5,<100,-,-,-,0,-,98.9,92.1,6.7,0,1.1,89,87.9,8,8,8,0,0,0,100,100,0,0,0,87.5,85.7,<150,-,-,-,0,0,100,98.3,1.7,0,0,88,88.6,9,9,9,0,0,0,100,100,0,0,0,-,-,<50,-,-,0,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,.,.,.,.,.,.,.,<350,-,-,-,-,-,99.1,97.3,1.2,0.6,0.9,86.3,85.8,<300,-,-,-,-,0,100,96.2,3.1,0.8,0,84.1,85.1,<300,-,-,-,0,-,98.6,97.3,1.4,0,1.4,89.2,87.9,<300,-,-,-,0,-,99.3,97.1,2.1,0,0.7,93,92.3,<300,-,-,-,-,-,99.3,96.4,2.2,0.7,0.7,80.5,80.5,<300,-,-,-,-,-,99.6,96.2,3,0.4,0.4,76.1,76.4,8,8,8,0,0,0,100,100,0,0,0,-,-,434,434,427,7,0,0,100,98.4,1.6,0,0,88.1,87.5,<50,-,-,0,0,0,100,100,0,0,0,50,50,<50,-,-,0,0,0,100,100,0,0,0,0,0,28,28,28,0,0,0,100,100,0,0,0,100,100,<50,-,-,-,0,0,100,91.7,8.3,0,0,81.8,87.5,<50,-,-,0,0,0,100,100,0,0,0,50,50,11,11,11,0,0,0,100,100,0,0,0,54.5,50,8,8,8,0,0,0,100,100,0,0,0,-,-,0,0,0,0,0,0,.,.,.,.,.,.,.,5,5,5,0,0,0,100,100,0,0,0,-,-,<100,-,-,-,0,0,100,93.5,6.5,0,0,24.1,24.6,<500,-,-,-,-,-,99.3,97.6,1.5,0.2,0.7,86.9,88.3
2,ANDREWS COUNTY,<250,-,-,-,0,-,97.1,95.8,1.3,0,2.9,82.4,4.3,<50,-,-,0,0,0,100,100,0,0,0,100,.,0,0,0,0,0,0,.,.,.,.,.,.,.,<200,-,-,-,0,-,97,95.2,1.8,0,3,80.4,5.3,<50,-,-,0,0,0,100,100,0,0,0,100,.,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,<100,-,-,0,0,-,96.9,96.9,0,0,3.1,85.7,0,<100,-,-,0,0,-,96.1,96.1,0,0,3.9,74,7.1,<200,-,-,-,0,-,97.5,95.7,1.9,0,2.5,86.4,0,<150,-,-,-,0,-,96.8,95.2,1.6,0,3.2,83.1,0,<150,-,-,-,0,-,97.3,96.5,0.9,0,2.7,81.7,6.7,<100,-,-,-,0,-,94.6,92.9,1.8,0,5.4,52.9,0,10,10,10,0,0,0,100,100,0,0,0,70,0,93,93,93,0,0,0,100,100,0,0,0,83.9,0,<50,0,0,0,0,-,0,0,0,0,100,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,6,6,6,0,0,0,100,100,0,0,0,100,.,<50,-,-,0,0,-,75,75,0,0,25,100,.,<50,-,-,0,0,0,100,100,0,0,0,100,.,<50,-,-,0,0,-,94.4,94.4,0,0,5.6,64.7,0,<50,-,-,0,0,-,91.7,91.7,0,0,8.3,72.7,0,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,<50,-,-,0,0,-,87.5,87.5,0,0,12.5,0,0,226,221,221,0,0,5,97.8,97.8,0,0,2.2,-,-
3,ANGELINA COUNTY,"1,260","1,203","1,164",32,7,57,95.5,92.4,2.5,0.6,4.5,80.9,78.5,193,178,173,5,0,15,92.2,89.6,2.6,0,7.8,75.1,75,<50,-,-,0,0,-,94.7,94.7,0,0,5.3,94.4,93.3,376,359,349,10,0,17,95.5,92.8,2.7,0,4.5,82.2,79.6,<50,-,-,-,-,-,96.2,88.5,3.8,3.8,3.8,78.3,66.7,<50,-,-,0,0,-,75,75,0,0,25,100,100,<50,-,-,0,0,0,100,100,0,0,0,100,100,641,619,597,16,6,22,96.6,93.1,2.5,0.9,3.4,81.4,78.8,<750,-,-,-,-,-,94.8,92.4,2.1,0.3,5.2,77.1,75.7,<600,-,-,-,-,-,96.4,92.4,3.1,0.9,3.6,85.7,82.8,<700,-,-,-,-,-,96.1,93,2.3,0.8,3.9,84.5,82.9,<650,-,-,-,-,-,94.8,91.7,2.8,0.3,5.2,76.9,73.8,492,457,430,21,6,35,92.9,87.4,4.3,1.2,7.1,66.4,61.5,<50,-,-,-,0,-,84,80,4,0,16,40,40,<850,-,-,-,-,-,99.2,97.8,1.1,0.2,0.8,84.5,82.1,<50,-,-,0,0,-,80,80,0,0,20,50,50,<50,-,-,0,0,0,100,100,0,0,0,50,50,<150,-,-,0,-,0,100,99.2,0,0.8,0,97.5,97.7,<100,-,-,-,0,-,95.5,92.5,3,0,4.5,60.7,62.3,<50,-,-,0,0,0,100,100,0,0,0,100,.,<50,-,-,-,0,-,89.8,85.7,4.1,0,10.2,53.7,51.4,<50,-,-,-,0,-,86.8,81.6,5.3,0,13.2,46.7,42.3,0,0,0,0,0,0,.,.,.,.,.,.,.,<50,-,-,0,0,0,100,100,0,0,0,100,100,146,138,132,6,0,8,94.5,90.4,4.1,0,5.5,20.8,15.2,<700,-,-,-,-,-,97.4,94.7,2.3,0.4,2.6,79.2,70.5
4,ARANSAS COUNTY,<250,-,-,-,-,-,91,88.7,1.4,0.9,9,82.2,82.7,<50,-,-,0,0,0,100,100,0,0,0,100,100,7,7,7,0,0,0,100,100,0,0,0,100,100,90,84,84,0,0,6,93.3,93.3,0,0,6.7,82.1,82.1,<50,-,-,0,0,0,100,100,0,0,0,66.7,66.7,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,<150,-,-,-,-,-,88.4,84.3,2.5,1.7,11.6,81.4,82.2,<150,-,-,-,-,-,88.9,85.2,2.8,0.9,11.1,76.1,76.1,<150,-,-,0,-,-,93,92.1,0,0.9,7,87.6,88.5,<150,-,-,0,-,-,92.5,91.6,0,0.9,7.5,88.8,89.7,<150,-,-,-,-,-,89.6,86.1,2.6,0.9,10.4,75.8,75.8,<100,-,-,-,-,-,86.4,80.7,3.4,2.3,13.6,60.6,60.6,0,0,0,0,0,0,.,.,.,.,.,.,.,96,90,90,0,0,6,93.8,93.8,0,0,6.3,85.6,86.5,<50,0,0,0,0,-,0,0,0,0,100,.,.,<50,0,0,0,0,-,0,0,0,0,100,.,.,5,5,5,0,0,0,100,100,0,0,0,100,100,<50,-,-,-,0,-,88.9,55.6,33.3,0,11.1,80,80,<50,-,-,0,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,<50,-,-,-,0,0,100,50,50,0,0,100,100,<50,-,-,-,0,-,87.5,81.3,6.3,0,12.5,15.4,15.4,<250,-,-,-,-,-,91,88.7,1.4,0.9,9,82.2,82.7
5,ARCHER COUNTY,<200,-,-,-,0,0,100,99.4,0.6,0,0,91.3,91.7,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,23,23,23,0,0,0,100,100,0,0,0,95.7,92.3,<50,-,-,0,0,0,100,100,0,0,0,100,100,<50,-,-,0,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,.,.,.,.,.,.,.,<150,-,-,-,0,0,100,99.3,0.7,0,0,90.2,91.3,<50,-,-,0,0,0,100,100,0,0,0,84.8,85,<150,-,-,-,0,0,100,99.2,0.8,0,0,92.9,93,<100,-,-,0,0,0,100,100,0,0,0,95.1,96.7,<100,-,-,-,0,0,100,98.7,1.3,0,0,87.2,86.7,23,23,23,0,0,0,100,100,0,0,0,69.6,64.3,0,0,0,0,0,0,.,.,.,.,.,.,.,111,111,111,0,0,0,100,100,0,0,0,91.9,91.1,<50,-,0,-,0,0,100,0,100,0,0,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,13,13,13,0,0,0,100,100,0,0,0,100,100,6,6,6,0,0,0,100,100,0,0,0,83.3,83.3,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,<50,-,-,0,0,0,100,100,0,0,0,66.7,66.7,15,15,15,0,0,0,100,100,0,0,0,53.3,46.2,0,0,0,0,0,0,.,.,.,.,.,.,.
6,ARMSTRONG COUNTY,26,26,26,0,0,0,100,100,0,0,0,92.3,92.3,<50,-,-,0,0,0,100,100,0,0,0,50,50,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,<50,-,-,0,0,0,100,100,0,0,0,95.8,95.8,10,10,10,0,0,0,100,100,0,0,0,90,90,16,16,16,0,0,0,100,100,0,0,0,93.8,93.8,15,15,15,0,0,0,100,100,0,0,0,86.7,86.7,11,11,11,0,0,0,100,100,0,0,0,100,100,<50,-,-,0,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,.,.,.,.,.,.,.,10,10,10,0,0,0,100,100,0,0,0,90,90,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,<50,-,-,0,0,0,100,100,0,0,0,100,100,<50,-,-,0,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,<50,-,-,0,0,0,100,100,0,0,0,66.7,66.7,26,26,26,0,0,0,100,100,0,0,0,92.3,92.3
7,ATASCOSA COUNTY,<650,-,-,-,-,-,95.1,92.5,2.3,0.3,4.9,82.4,91.3,<50,-,-,0,0,0,100,100,0,0,0,50,.,<50,-,-,0,0,0,100,100,0,0,0,100,100,<450,-,-,-,-,-,94.3,91.1,3,0.2,5.7,82.7,91.5,<50,-,-,0,0,-,80,80,0,0,20,100,100,<50,-,-,0,0,-,33.3,33.3,0,0,66.7,100,100,0,0,0,0,0,0,.,.,.,.,.,.,.,<200,-,-,-,-,-,98.8,97.5,0.6,0.6,1.2,81.3,90.6,<350,-,-,-,-,-,94.4,91.6,2.5,0.3,5.6,79.6,88.2,<300,-,-,-,-,-,95.9,93.4,2.1,0.3,4.1,85.4,94.7,<300,-,-,-,0,-,94.5,93.9,0.7,0,5.5,88.3,95,<350,-,-,-,-,-,95.6,91.3,3.8,0.6,4.4,76.8,87.6,<250,-,-,-,-,-,93.1,89,3.7,0.4,6.9,73.5,84.8,<50,-,-,0,0,-,75,75,0,0,25,100,100,<500,-,-,-,-,-,97.7,96.8,0.4,0.4,2.3,82.5,92.9,<50,-,-,-,0,-,80,60,20,0,20,66.7,66.7,<50,0,0,0,0,-,0,0,0,0,100,.,.,38,38,38,0,0,0,100,100,0,0,0,94.3,96.3,<50,-,-,-,0,-,87,82.6,4.3,0,13,68.4,70.6,<50,-,0,-,0,0,100,0,100,0,0,.,.,<50,-,-,0,0,-,81.8,81.8,0,0,18.2,77.8,87.5,<50,-,-,0,0,-,71.4,71.4,0,0,28.6,100,100,<50,-,-,0,0,0,100,100,0,0,0,66.7,50,<50,-,-,0,0,0,100,100,0,0,0,66.7,100,<50,-,-,-,0,-,97.7,93.2,4.5,0,2.3,10.3,11.1,<200,-,-,-,-,-,93.8,90.6,1.9,1.3,6.3,86.2,86.6
8,AUSTIN COUNTY,<450,-,-,-,-,-,98.2,96.8,0.7,0.7,1.8,82.9,83.9,<50,-,-,0,0,-,93.8,93.8,0,0,6.3,68.9,70.5,<50,-,-,0,0,0,100,100,0,0,0,100,100,<200,-,-,-,-,-,97.5,95.5,1.3,0.6,2.5,86.7,86.4,7,7,7,0,0,0,100,100,0,0,0,85.7,85.7,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,<250,-,-,-,-,-,99.5,98.2,0.5,0.9,0.5,82.9,84.8,<250,-,-,-,-,-,96.7,95.2,1,0.5,3.3,76.9,77.2,<250,-,-,-,-,-,99.6,98.2,0.4,0.9,0.4,88.3,90.1,<250,-,-,-,0,-,98.5,98,0.5,0,1.5,86.9,86.3,<250,-,-,-,-,-,97.9,95.7,0.9,1.3,2.1,79.5,81.8,<150,-,-,0,-,-,93.4,90.6,0,2.8,6.6,68.8,70.7,<50,-,-,0,0,-,84.6,84.6,0,0,15.4,90.9,90.9,<200,-,-,-,-,-,99.4,98.1,0.6,0.6,0.6,82.4,83.1,<50,-,-,0,0,-,85.7,85.7,0,0,14.3,33.3,20,<50,-,-,0,0,-,80,80,0,0,20,0,0,35,35,35,0,0,0,100,100,0,0,0,97.1,96.3,<50,-,-,-,-,-,83.3,50,16.7,16.7,16.7,66.7,50,<50,-,-,0,0,-,85.7,85.7,0,0,14.3,83.3,83.3,<50,-,-,0,0,-,86.7,86.7,0,0,13.3,92.3,92.3,<50,-,-,0,0,-,84.6,84.6,0,0,15.4,90.9,90.9,<50,-,-,0,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,.,.,.,.,.,.,.,37,37,37,0,0,0,100,100,0,0,0,21.6,22.9,0,0,0,0,0,0,.,.,.,.,.,.,.
9,BAILEY COUNTY,82,82,82,0,0,0,100,100,0,0,0,78,27.8,0,0,0,0,0,0,.,.,.,.,.,.,.,<50,-,-,0,0,0,100,100,0,0,0,100,.,69,69,69,0,0,0,100,100,0,0,0,75.4,29.4,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,<50,-,-,0,0,0,100,100,0,0,0,90.9,0,52,52,52,0,0,0,100,100,0,0,0,-,-,30,30,30,0,0,0,100,100,0,0,0,-,-,44,44,44,0,0,0,100,100,0,0,0,77.3,38.5,38,38,38,0,0,0,100,100,0,0,0,78.9,0,24,24,24,0,0,0,100,100,0,0,0,-,-,5,5,5,0,0,0,100,100,0,0,0,-,-,77,77,77,0,0,0,100,100,0,0,0,80.5,31.3,0,0,0,0,0,0,.,.,.,.,.,.,.,0,0,0,0,0,0,.,.,.,.,.,.,.,6,6,6,0,0,0,100,100,0,0,0,100,.,<50,-,-,0,0,0,100,100,0,0,0,50,0,<50,-,-,0,0,0,100,100,0,0,0,100,.,7,7,7,0,0,0,100,100,0,0,0,-,-,5,5,5,0,0,0,100,100,0,0,0,-,-,<50,-,-,0,0,0,100,100,0,0,0,66.7,0,0,0,0,0,0,0,.,.,.,.,.,.,.,10,10,10,0,0,0,100,100,0,0,0,-,-,78,78,78,0,0,0,100,100,0,0,0,82.1,33.3
10,BANDERA COUNTY,<200,-,-,-,-,-,94.9,91.5,2.3,1.1,5.1,82,80.8,<50,-,-,0,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,.,.,.,.,.,.,.,<100,-,-,-,-,-,93,87.7,3.5,1.8,7,80,78.7,<50,-,-,0,0,0,100,100,0,0,0,100,100,<50,-,-,0,0,0,100,100,0,0,0,100,100,0,0,0,0,0,0,.,.,.,.,.,.,.,<150,-,-,-,-,-,95.7,93,1.7,0.9,4.3,82.2,81,<100,-,-,-,0,-,92.4,87.9,4.5,0,7.6,74.1,71.2,<150,-,-,-,-,-,96.4,93.6,0.9,1.8,3.6,86.4,85.9,<100,-,-,-,-,-,94,91.7,1.2,1.2,6,88.3,87,<100,-,-,-,-,-,95.7,91.3,3.3,1.1,4.3,76.2,75.6,<100,-,-,-,-,-,94.4,86.1,5.6,2.8,5.6,69.4,66.1,<50,-,-,0,0,0,100,100,0,0,0,0,0,<150,-,-,-,-,-,97.1,94.9,0.7,1.5,2.9,82.3,81,<50,-,-,0,0,-,50,50,0,0,50,0,0,<50,0,0,0,0,-,0,0,0,0,100,.,.,14,14,14,0,0,0,100,100,0,0,0,100,100,<50,-,-,-,0,-,94.1,88.2,5.9,0,5.9,80,76.9,0,0,0,0,0,0,.,.,.,.,.,.,.,<50,-,-,0,0,0,100,100,0,0,0,0,0,<50,-,-,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.,.,<50,-,-,0,0,0,100,100,0,0,0,100,100,<50,-,-,-,0,-,80,66.7,13.3,0,20,10,10,<50,-,-,0,0,-,90.9,90.9,0,0,9.1,100,.
